step,accuracy,loss,mode
146,0.6328125,,eval_post_drift
147,0.484375,,eval_post_drift
148,0.4453125,,eval_post_drift
149,0.5703125,,eval_post_drift
150,0.5078125,,eval_post_drift
151,0.46875,,eval_post_drift
152,0.5234375,,eval_post_drift
153,0.3828125,,eval_post_drift
154,0.4140625,,eval_post_drift
155,0.4375,,eval_post_drift
156,0.484375,,eval_post_drift
157,0.453125,,eval_post_drift
158,0.515625,,eval_post_drift
159,0.46875,,eval_post_drift
160,0.46875,,eval_post_drift
161,0.3984375,,eval_post_drift
162,0.4921875,,eval_post_drift
163,0.53125,,eval_post_drift
164,0.453125,,eval_post_drift
165,0.453125,,eval_post_drift
166,0.3984375,,eval_post_drift
167,0.4921875,,eval_post_drift
168,0.53125,,eval_post_drift
169,0.421875,,eval_post_drift
170,0.4609375,,eval_post_drift
171,0.4296875,,eval_post_drift
172,0.484375,,eval_post_drift
173,0.453125,,eval_post_drift
174,0.484375,,eval_post_drift
175,0.328125,,eval_post_drift
176,0.453125,,eval_post_drift
177,0.4765625,,eval_post_drift
178,0.53125,,eval_post_drift
179,0.5859375,,eval_post_drift
180,0.46875,,eval_post_drift
181,0.515625,,eval_post_drift
182,0.390625,,eval_post_drift
183,0.4453125,,eval_post_drift
184,0.4453125,,eval_post_drift
185,0.4453125,,eval_post_drift
186,0.4453125,,eval_post_drift
187,0.4375,,eval_post_drift
188,0.4765625,,eval_post_drift
189,0.53125,,eval_post_drift
190,0.46875,,eval_post_drift
191,0.46875,,eval_post_drift
192,0.4921875,,eval_post_drift
193,0.40625,,eval_post_drift
194,0.4296875,,eval_post_drift
195,0.546875,,eval_post_drift
196,0.4296875,,eval_post_drift
197,0.53125,,eval_post_drift
198,0.5,,eval_post_drift
199,0.453125,,eval_post_drift
200,0.4921875,,eval_post_drift
201,0.5078125,,eval_post_drift
202,0.5390625,,eval_post_drift
203,0.4921875,,eval_post_drift
204,0.4140625,,eval_post_drift
205,0.46875,,eval_post_drift
206,0.4375,,eval_post_drift
207,0.46875,,eval_post_drift
208,0.46875,,eval_post_drift
209,0.5546875,,eval_post_drift
210,0.3828125,,eval_post_drift
211,0.453125,,eval_post_drift
212,0.46875,,eval_post_drift
213,0.3671875,,eval_post_drift
214,0.4765625,,eval_post_drift
215,0.4140625,,eval_post_drift
216,0.390625,,eval_post_drift
217,0.4375,,eval_post_drift
218,0.5,,eval_post_drift
219,0.4921875,,eval_post_drift
